                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0344,                 3.3828,                 1.4888,                0.00325,                      1,                0.06213,                0.01846,                 0.6319,                 6.6502,                0.86247,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.94124,                 3.2695,                 1.4617,                 0.0035,                      1,                0.17432,                0.10801,                0.63221,                 6.6332,                0.84433,             8.3169e-05,             8.3169e-05,             8.3169e-05
                      3,                0.81523,                 3.0125,                 1.3795,                0.00518,                      1,                0.37753,                0.21731,                  0.738,                 6.5592,                0.87883,             0.00012389,             0.00012389,             0.00012389
                      4,                0.83427,                 2.5983,                 1.2962,                0.00624,                      1,                0.35329,                0.23704,                0.74073,                  6.065,                0.94814,             0.00015966,             0.00015966,             0.00015966
                      5,                0.75388,                 2.4442,                 1.2729,                0.00576,                      1,                0.39497,                0.27774,                0.74737,                 5.8418,                0.95815,             0.00019048,             0.00019048,             0.00019048
                      6,                0.82298,                 2.3243,                  1.342,                0.00507,                      1,                 0.6358,                0.47068,                0.69817,                 5.8002,                0.91594,             0.00021634,             0.00021634,             0.00021634
                      7,                0.90379,                 2.3618,                 1.4245,                0.00423,                      1,                0.73161,                0.51894,                0.70443,                 5.7633,                0.92898,             0.00023726,             0.00023726,             0.00023726
                      8,                  0.852,                 2.1956,                 1.3141,                0.73116,                0.32174,                0.81026,                0.53841,                0.76208,                 5.5294,                0.99349,             0.00025323,             0.00025323,             0.00025323
                      9,                0.81673,                 1.9887,                 1.3094,                0.00361,                      1,                0.89358,                 0.6164,                0.70784,                  5.575,                0.94485,             0.00026425,             0.00026425,             0.00026425
                     10,                 0.9135,                 1.9528,                 1.3839,                0.77931,                0.41917,                0.93111,                0.58352,                0.72326,                 5.4826,                0.94849,             0.00027032,             0.00027032,             0.00027032
                     11,                  0.707,                 2.2375,                 1.3318,                 0.8309,                0.34905,                0.97796,                0.63485,                0.70651,                 5.0858,                0.93185,             0.00027144,             0.00027144,             0.00027144
                     12,                0.65955,                 2.1813,                 1.3394,                0.82104,                0.33771,                0.97376,                 0.6761,                0.74421,                 4.9828,                0.95452,             0.00026761,             0.00026761,             0.00026761
                     13,                0.67378,                 2.1631,                 1.3473,                0.46851,                0.93912,                0.97328,                0.64551,                 0.8395,                  5.092,                 1.0131,             0.00025883,             0.00025883,             0.00025883
                     14,                0.66823,                 2.1509,                 1.3374,                0.45529,                 0.9586,                0.98053,                0.67658,                0.75457,                  4.891,                0.94188,             0.00024509,             0.00024509,             0.00024509
                     15,                0.58803,                  1.954,                 1.2371,                0.88685,                 0.7039,                0.95333,                0.59738,                0.83727,                 4.5488,                0.99504,             0.00022641,             0.00022641,             0.00022641
                     16,                0.60213,                 1.8056,                 1.2303,                0.83735,                0.77932,                0.91208,                0.57318,                0.83593,                 4.3893,                      1,             0.00020278,             0.00020278,             0.00020278
                     17,                0.62751,                 1.7977,                 1.3238,                0.80365,                0.87248,                0.91208,                0.59946,                0.78957,                 4.2132,                0.96237,              0.0001742,              0.0001742,              0.0001742
                     18,                0.56694,                 1.7045,                 1.2093,                0.80097,                0.95244,                  0.995,                0.72814,                0.78715,                 3.9308,                0.94727,             0.00014067,             0.00014067,             0.00014067
                     19,                0.59701,                 1.7187,                 1.2316,                0.79415,                0.98501,                  0.995,                 0.7229,                0.79233,                 3.8697,                 0.9428,             0.00010219,             0.00010219,             0.00010219
                     20,                0.53299,                 1.7211,                 1.1426,                0.76681,                0.98602,                  0.995,                0.73128,                0.78677,                 3.7916,                0.93739,             5.8756e-05,             5.8756e-05,             5.8756e-05
