                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0344,                 3.3828,                 1.4888,                0.00325,                      1,                0.06213,                0.01846,                 0.6319,                 6.6502,                0.86247,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.94036,                  3.267,                 1.4619,                0.00352,                      1,                0.16344,                0.10237,                0.64404,                 6.6299,                0.84755,             8.6634e-05,             8.6634e-05,             8.6634e-05
                      3,                0.79503,                 2.9948,                 1.3653,                0.00516,                      1,                0.33456,                0.20964,                  0.705,                   6.53,                0.84981,             0.00013478,             0.00013478,             0.00013478
                      4,                0.82562,                 2.5592,                 1.2876,                0.00693,                      1,                0.40605,                0.27755,                0.70502,                 5.9363,                0.92493,             0.00018193,             0.00018193,             0.00018193
                      5,                0.74201,                 2.4091,                  1.274,                0.00656,                      1,                 0.4048,                0.25711,                0.74109,                 5.7699,                0.94737,             0.00022809,             0.00022809,             0.00022809
                      6,                  0.837,                 2.2795,                 1.3651,                0.00516,                      1,                0.49361,                0.34253,                0.73285,                 5.8929,                0.94306,             0.00027327,             0.00027327,             0.00027327
                      7,                0.93162,                 2.3313,                 1.4465,                0.00389,                      1,                0.73522,                0.49367,                0.72355,                 5.9083,                0.92466,             0.00031745,             0.00031745,             0.00031745
                      8,                0.89119,                 2.1121,                 1.3482,                0.00355,                      1,                0.78654,                0.48993,                0.72342,                 5.3524,                0.96693,             0.00036065,             0.00036065,             0.00036065
                      9,                0.82643,                 1.9175,                 1.3036,                0.00336,                      1,                0.70779,                0.43318,                 0.8492,                 5.2978,                 1.0143,             0.00040285,             0.00040285,             0.00040285
                     10,                  0.915,                 1.9301,                 1.3887,                0.78186,                  0.466,                0.70743,                0.39773,                0.76564,                 5.2386,                0.94887,             0.00044406,             0.00044406,             0.00044406
                     11,                 0.8827,                   1.71,                 1.3388,                0.75216,                    0.7,                0.84846,                0.55015,                0.87142,                 4.1987,                 1.0696,             0.00048429,             0.00048429,             0.00048429
                     12,                0.78513,                 1.7087,                 1.2911,                0.75452,                0.80868,                0.83479,                0.52864,                0.90381,                 3.9773,                 1.0631,             0.00052352,             0.00052352,             0.00052352
                     13,                0.83109,                 1.6345,                  1.296,                0.96613,                0.17815,                0.45313,                0.28557,                 0.8747,                 4.8652,                0.99166,             0.00056176,             0.00056176,             0.00056176
                     14,                0.83093,                 1.6067,                 1.3191,                      1,                 0.2096,                0.50158,                0.29966,                0.83815,                  4.719,                0.97828,             0.00059902,             0.00059902,             0.00059902
                     15,                0.86177,                 1.5623,                 1.3155,                0.63652,                0.31067,                0.47242,                0.29082,                0.83686,                 5.2218,                  1.012,             0.00063528,             0.00063528,             0.00063528
                     16,                0.83098,                 1.5369,                 1.2658,                0.64733,                0.50556,                0.53626,                0.33856,                0.92332,                 5.1358,                 1.0523,             0.00067056,             0.00067056,             0.00067056
                     17,                0.78061,                 1.4961,                 1.2593,                0.65667,                0.55016,                0.74863,                0.47755,                 1.0153,                  5.044,                 1.1418,             0.00070484,             0.00070484,             0.00070484
                     18,                0.87086,                  1.505,                 1.3309,                  0.752,                0.80172,                0.93667,                0.62164,                0.90919,                 4.2085,                 1.1145,             0.00073813,             0.00073813,             0.00073813
                     19,                0.90125,                 1.4968,                 1.3519,                0.77418,                  0.775,                0.88885,                0.55289,                0.91049,                  4.353,                 1.0739,             0.00077044,             0.00077044,             0.00077044
                     20,                 0.7963,                  1.424,                 1.2666,                0.81548,                0.52713,                0.91444,                0.62171,                0.84112,                 4.0834,                 1.0125,             0.00080175,             0.00080175,             0.00080175
                     21,                0.86591,                 1.5581,                 1.3295,                 0.9373,                0.49892,                0.70474,                0.40082,                  1.048,                 4.2258,                 1.1542,             0.00083208,             0.00083208,             0.00083208
                     22,                0.89163,                 1.6061,                 1.3542,                0.67316,                0.47726,                0.55409,                0.38882,                0.87446,                 3.8354,                 1.0313,             0.00086141,             0.00086141,             0.00086141
                     23,                0.86148,                 1.4817,                 1.2574,                0.63145,                0.42767,                0.49423,                 0.3273,                0.87575,                 3.8259,                 1.0255,             0.00088975,             0.00088975,             0.00088975
                     24,                0.83341,                 1.3747,                 1.2968,                   0.63,                0.22742,                0.38733,                0.18714,                0.96964,                 3.6076,                 1.1496,             0.00091711,             0.00091711,             0.00091711
                     25,                0.73999,                 1.3322,                 1.2179,                 0.4967,                0.49705,                0.50224,                0.30921,                0.95901,                  3.248,                 1.1826,             0.00094347,             0.00094347,             0.00094347
                     26,                 0.7897,                 1.3138,                 1.2996,                 0.5013,                0.49979,                0.51832,                0.30905,                 1.0033,                 3.7514,                 1.2908,             0.00094062,             0.00094062,             0.00094062
                     27,                0.79365,                 1.2324,                 1.2481,                0.63699,                  0.325,                 0.3664,                0.24284,                 1.0168,                 4.7452,                 1.2632,             0.00092825,             0.00092825,             0.00092825
                     28,                 0.7272,                 1.2018,                 1.1763,                0.72833,                0.36884,                0.50023,                0.29892,                 1.0035,                 5.2192,                 1.2465,             0.00091588,             0.00091588,             0.00091588
                     29,                0.79116,                 1.1969,                 1.2402,                   0.75,                 0.3194,                0.48218,                0.26305,                 1.1173,                 5.1575,                 1.2981,              0.0009035,              0.0009035,              0.0009035
                     30,                0.81149,                 1.4066,                 1.3121,                0.60792,                   0.45,                0.51984,                0.33219,                 1.0863,                 4.9124,                 1.2886,             0.00089112,             0.00089112,             0.00089112
                     31,                0.80403,                 1.1167,                 1.2818,                0.89592,                0.41741,                 0.4786,                0.31521,                 1.0216,                 5.1716,                 1.2334,             0.00087875,             0.00087875,             0.00087875
                     32,                0.74504,                  1.162,                 1.1836,                0.52162,                0.53181,                0.54583,                0.35835,                0.98789,                 5.2992,                 1.1681,             0.00086637,             0.00086637,             0.00086637
                     33,                0.82326,                 1.3032,                 1.3279,                0.49067,                0.56056,                0.59491,                0.32444,                 1.0326,                  4.005,                 1.1431,               0.000854,               0.000854,               0.000854
                     34,                0.79086,                 1.2153,                 1.2431,                0.50545,                0.63281,                0.66013,                0.34741,                 1.0604,                 3.4723,                 1.1424,             0.00084162,             0.00084162,             0.00084162
                     35,                0.79905,                 1.2165,                 1.2625,                0.63459,                 0.5895,                0.59039,                0.28696,                 1.1405,                   3.53,                 1.2368,             0.00082925,             0.00082925,             0.00082925
                     36,                0.79848,                 1.1789,                 1.2379,                   0.75,                0.62635,                 0.6515,                0.35192,                  1.241,                  3.452,                 1.3551,             0.00081688,             0.00081688,             0.00081688
                     37,                 0.7812,                 1.0667,                 1.1986,                0.63036,                0.47974,                0.56739,                0.33083,                 1.1626,                 3.6734,                 1.3184,              0.0008045,              0.0008045,              0.0008045
                     38,                0.75374,                  1.042,                 1.2051,                0.63897,                0.79722,                0.77663,                0.44452,                 1.0491,                 3.5349,                  1.243,             0.00079213,             0.00079213,             0.00079213
